continent,year,month,US_imports,US_exports,US_trade_deficit,US_ unemployment_rate,US_housing_price_index,number_of_covid_cases_US,number_of_covid_deaths,global_container_freight_index
Canada,2021,Aug,31068.67949,25774.12353,-5294.55596,5.2,356.45,4245784,33309,10323
Canada,2021,Sep,29790.78409,24638.67369,-5152.1104,4.7,358.8,4101005,54479,10839
Canada,2021,Oct,31279.56512,27471.6841,-3807.88102,4.6,361.55,2433668,42996,10194
Canada,2021,Nov,33752.54218,27630.50253,-6122.03965,4.2,361.59,2561250,30393,9353
Canada,2021,Dec,33752.62124,27630.50831,-6122.112929,3.9,361.62,6340666,37560,9293
Mexico,2019,Jan,27561.39887,21985.56694,5575.83193,4,264.58,0,0,1324
Mexico,2019,Feb,27507.38641,20215.49995,7291.88646,3.8,266.36,0,0,1324
Mexico,2019,Mar,31102.47015,21722.17565,9380.2945,3.8,269.34,0,0,1324
Mexico,2019,Apr,30235.42246,22267.79533,7967.62713,3.6,272.38,0,0,1324
Mexico,2019,May,31918.91137,22645.05103,9273.86034,3.6,275.21,0,0,1324
Mexico,2019,Jun,30198.38223,20683.20373,9515.1785,3.6,276.47,0,0,1324
Mexico,2019,Jul,29961.42223,22213.28114,7748.14109,3.7,277.43,0,0,1342
Mexico,2019,Aug,30891.17332,21940.53626,8950.63706,3.7,277.48,0,0,1350
Mexico,2019,Sep,29285.29821,20617.49396,8667.80425,3.5,278.17,0,0,1279
Mexico,2019,Oct,30940.19162,22272.45356,8667.73806,3.6,278.27,0,0,1238
Mexico,2019,Nov,29047.54886,20801.93368,8245.61518,3.6,278.71,0,0,1290
Mexico,2019,Dec,27507.4928,18950.83628,8556.65652,3.6,279.34,0,0,1446
Mexico,2020,Jan,28299.74495,20754.22406,7545.52089,3.5,280.38,4,0,1514
Mexico,2020,Feb,29036.69651,19170.86799,9865.82852,3.5,283.64,66,2,1331
Mexico,2020,Mar,30080.9818,19685.37471,10395.60709,4.4,286.34,212592,4947,1400
Mexico,2020,Apr,15816.89943,12413.88841,3403.01102,14.7,288.64,878237,60329,1439
Mexico,2020,May,14913.74,10404.12278,4509.61722,13.2,289.54,743386,41797,1459
Mexico,2020,Jun,25807.22765,15712.11375,10095.1139,11,293.23,860959,20649,1785
