year,continent,country,IYR,EYR,Trade_deficit,Average of US_ unemployment_rate,Average of US_housing_price_index,Sum of number_of_covid_cases_US,Sum of number_of_covid_deaths
2019,Africa,Ghana,942.512864,840.130858,102.382006,3.68,274.48,0,0
2020,Africa,Ghana,716.977065,828.77183,-111.794765,8.09,296.17,120458016,2154714
2020,Africa,Guinea,9.915065,135.531801,-125.616736,8.09,296.17,120458016,2154714
2021,Africa,Guinea,9.224948,142.323683,-133.098735,5.36,345.18,206532402,2679372
2019,Africa,Guinea,8.752154,128.010546,-119.258392,3.68,274.48,0,0
2019,Africa,Kenya,667.122195,401.299989,265.822206,3.68,274.48,0,0
2021,Africa,Kenya,633.576897,473.899845,159.677052,5.36,345.18,206532402,2679372
2020,Africa,Kenya,568.82896,372.172459,196.656501,8.09,296.17,120458016,2154714
2019,Africa,Lesotho,324.951576,1.212467,323.739109,3.68,274.48,0,0
2020,Africa,Lesotho,305.390768,2.192068,303.1987,8.09,296.17,120458016,2154714
2021,Africa,Lesotho,302.942411,2.96996,299.972451,5.36,345.18,206532402,2679372
2019,Africa,Liberia,65.643435,113.873655,-48.23022,3.68,274.48,0,0
2021,Africa,Liberia,65.475679,126.35781,-60.882131,5.36,345.18,206532402,2679372
2020,Africa,Liberia,45.117098,93.177833,-48.060735,8.09,296.17,120458016,2154714
2021,Africa,Libya,2050.487253,251.493011,1798.994242,5.36,345.18,206532402,2679372
2019,Africa,Libya,1502.633645,412.008734,1090.624911,3.68,274.48,0,0
2020,Africa,Libya,215.416133,289.956115,-74.539982,8.09,296.17,120458016,2154714
2019,Africa,Madagascar,846.12883,66.679485,779.449345,3.68,274.48,0,0
2021,Africa,Madagascar,614.766058,50.319541,564.446517,5.36,345.18,206532402,2679372
2020,Africa,Madagascar,613.87919,35.98964,577.88955,8.09,296.17,120458016,2154714
2019,Africa,Malawi,79.469352,22.808686,56.660666,3.68,274.48,0,0
2020,Africa,Malawi,43.247962,13.173623,30.074339,8.09,296.17,120458016,2154714
2021,Africa,Malawi,42.488352,22.023561,20.464791,5.36,345.18,206532402,2679372
2019,Africa,Mali,4.596565,68.050866,-63.454301,3.68,274.48,0,0
2021,Africa,Mali,2.93818,88.215781,-85.277601,5.36,345.18,206532402,2679372
2020,Africa,Mali,2.205457,98.700571,-96.495114,8.09,296.17,120458016,2154714
2020,Africa,Mauritania,5.976681,128.063034,-122.086353,8.09,296.17,120458016,2154714
2019,Africa,Mauritania,5.047037,90.685943,-85.638906,3.68,274.48,0,0
2021,Africa,Mauritania,4.217102,126.835154,-122.618052,5.36,345.18,206532402,2679372
2019,Africa,Mauritius,343.420166,103.48174,239.938426,3.68,274.48,0,0
2020,Africa,Mauritius,242.407034,49.617061,192.789973,8.09,296.17,120458016,2154714
2021,Africa,Mauritius,231.813086,67.54943,164.263656,5.36,345.18,206532402,2679372
2019,Africa,Morocco,1582.286901,3501.600014,-1919.313113,3.68,274.48,0,0
2021,Africa,Morocco,1133.612291,2499.491988,-1365.879697,5.36,345.18,206532402,2679372
2020,Africa,Morocco,1048.066437,2301.437993,-1253.371556,8.09,296.17,120458016,2154714
2021,Africa,Mozambique,139.290376,155.975735,-16.685359,5.36,345.18,206532402,2679372
2019,Africa,Mozambique,136.78056,196.316709,-59.536149,3.68,274.48,0,0
2020,Africa,Mozambique,108.052455,127.368102,-19.315647,8.09,296.17,120458016,2154714
2019,Africa,Namibia,143.885152,194.405452,-50.5203,3.68,274.48,0,0
2021,Africa,Namibia,136.541916,89.291853,47.250063,5.36,345.18,206532402,2679372
2020,Africa,Namibia,90.217057,60.093881,30.123176,8.09,296.17,120458016,2154714
2021,Africa,Niger,85.744844,186.555915,-100.811071,5.36,345.18,206532402,2679372
2020,Africa,Niger,78.538189,144.68012,-66.141931,8.09,296.17,120458016,2154714
2019,Africa,Niger,46.536399,91.802404,-45.266005,3.68,274.48,0,0
2019,Africa,Nigeria,4609.511216,3198.076716,1411.4345,3.68,274.48,0,0
2021,Africa,Nigeria,3192.504492,3544.096611,-351.592119,5.36,345.18,206532402,2679372
2020,Africa,Nigeria,1484.805652,2802.207295,-1317.401643,8.09,296.17,120458016,2154714
2019,Africa,Rwanda,45.62475,18.833728,26.791022,3.68,274.48,0,0
2020,Africa,Rwanda,32.640234,27.403052,5.237182,8.09,296.17,120458016,2154714
2021,Africa,Rwanda,25.277405,40.934048,-15.656643,5.36,345.18,206532402,2679372
2019,Africa,Senegal,131.283648,196.739658,-65.45601,3.68,274.48,0,0
2021,Africa,Senegal,129.83649,357.50224,-227.66575,5.36,345.18,206532402,2679372
2020,Africa,Senegal,100.987192,281.30186,-180.314668,8.09,296.17,120458016,2154714
2019,Africa,Seychelles,10.783577,18.357964,-7.574387,3.68,274.48,0,0
2021,Africa,Seychelles,9.041148,10.311325,-1.270177,5.36,345.18,206532402,2679372
2020,Africa,Seychelles,6.837861,17.062461,-10.2246,8.09,296.17,120458016,2154714
2020,Africa,Sierra Leone,31.993511,73.806528,-41.813017,8.09,296.17,120458016,2154714
2019,Africa,Sierra Leone,29.963316,78.234097,-48.270781,3.68,274.48,0,0
2021,Africa,Sierra Leone,16.209076,103.459898,-87.250822,5.36,345.18,206532402,2679372
2021,Africa,Somalia,1.150871,47.163846,-46.012975,5.36,345.18,206532402,2679372
2019,Africa,Somalia,0.991688,105.232004,-104.240316,3.68,274.48,0,0
2020,Africa,Somalia,0.503571,56.853303,-56.349732,8.09,296.17,120458016,2154714
2021,Africa,South Africa,14295.00171,5088.887751,9206.113959,5.36,345.18,206532402,2679372
2020,Africa,South Africa,11368.00691,4374.150967,6993.855943,8.09,296.17,120458016,2154714
2019,Africa,South Africa,7794.61783,5367.159438,2427.458392,3.68,274.48,0,0
2019,Africa,South Sudan,66.390628,21.819258,44.57137,3.68,274.48,0,0
2020,Africa,South Sudan,0.104602,45.400728,-45.296126,8.09,296.17,120458016,2154714
2021,Africa,South Sudan,0.07089,51.97766,-51.90677,5.36,345.18,206532402,2679372
2020,Africa,Sudan,82.199947,71.584744,10.615203,8.09,296.17,120458016,2154714
2019,Africa,Sudan,21.241528,74.092663,-52.851135,3.68,274.48,0,0
2021,Africa,Sudan,18.582558,137.594917,-119.012359,5.36,345.18,206532402,2679372
2019,Africa,Tanzania,129.781914,332.501162,-202.719248,3.68,274.48,0,0
2020,Africa,Tanzania,121.502773,243.223158,-121.720385,8.09,296.17,120458016,2154714
2021,Africa,Tanzania,72.223252,257.087823,-184.864571,5.36,345.18,206532402,2679372
2020,Africa,Togo,19.535236,310.389414,-290.854178,8.09,296.17,120458016,2154714
2021,Africa,Togo,17.783463,210.670531,-192.887068,5.36,345.18,206532402,2679372
2019,Africa,Togo,13.015722,437.521796,-424.506074,3.68,274.48,0,0
2021,Africa,Tunisia,677.012793,393.306314,283.706479,5.36,345.18,206532402,2679372
2020,Africa,Tunisia,568.508027,428.99533,139.512697,8.09,296.17,120458016,2154714
2019,Africa,Tunisia,469.150414,460.65696,8.493454,3.68,274.48,0,0
2020,Africa,Uganda,83.329606,94.879574,-11.549968,8.09,296.17,120458016,2154714
2021,Africa,Uganda,82.105148,141.001135,-58.895987,5.36,345.18,206532402,2679372
2019,Africa,Uganda,80.525508,104.308915,-23.783407,3.68,274.48,0,0
2021,Africa,Zambia,152.622111,82.248779,70.373332,5.36,345.18,206532402,2679372
2019,Africa,Zambia,82.952689,99.272485,-16.319796,3.68,274.48,0,0
2020,Africa,Zambia,40.303535,71.796562,-31.493027,8.09,296.17,120458016,2154714
2019,Africa,Zimbabwe,47.041815,39.95802,7.083795,3.68,274.48,0,0
2021,Africa,Zimbabwe,40.987824,41.790974,-0.80315,5.36,345.18,206532402,2679372
2020,Africa,Zimbabwe,36.856066,46.41944,-9.563374,8.09,296.17,120458016,2154714
2019,Asia,China,450760.375,106448.3717,344312.0033,3.68,274.48,0,0
2021,Asia,China,456832.1688,137680.5078,319151.661,5.36,345.18,206532402,2679372
2020,Asia,China,434748.9567,124485.4307,310263.526,8.09,296.17,120458016,2154714
2019,Asia,Japan,143585.5231,74497.00425,69088.51885,3.68,274.48,0,0
2021,Asia,Japan,123578.0341,68416.44666,55161.58744,5.36,345.18,206532402,2679372
2020,Asia,Japan,119499.2634,63756.41158,55742.85182,8.09,296.17,120458016,2154714
2021,Asia,Vietnam,92324.95191,9959.983881,82364.96803,5.36,345.18,206532402,2679372
2021,Asia,"Korea, South",86233.83486,60346.0903,25887.74456,5.36,345.18,206532402,2679372
2020,Asia,Vietnam,79618.64793,9912.050151,69706.59778,8.09,296.17,120458016,2154714
2019,Asia,"Korea, South",77478.5907,56504.09099,20974.49971,3.68,274.48,0,0
2020,Asia,"Korea, South",76056.99829,50965.21314,25091.78515,8.09,296.17,120458016,2154714
2021,Asia,Taiwan,69820.76034,33222.87027,36597.89007,5.36,345.18,206532402,2679372
2019,Asia,Vietnam,66461.01255,10821.54405,55639.4685,3.68,274.48,0,0
2021,Asia,India,66194.95855,36206.0776,29988.88095,5.36,345.18,206532402,2679372
2020,Asia,Taiwan,60427.75338,30219.09315,30208.66023,8.09,296.17,120458016,2154714
2019,Asia,India,57883.36734,34221.377,23661.99034,3.68,274.48,0,0
2019,Asia,Taiwan,54228.9312,31204.90271,23024.02849,3.68,274.48,0,0
2020,Asia,India,51204.30181,27080.30513,24123.99668,8.09,296.17,120458016,2154714
2021,Asia,Malaysia,51036.10314,13812.50036,37223.60278,5.36,345.18,206532402,2679372
2020,Asia,Malaysia,44131.68537,12295.58589,31836.09948,8.09,296.17,120458016,2154714
2021,Asia,Thailand,43097.09584,11590.05073,31507.04511,5.36,345.18,206532402,2679372
