continent,year,month,US_imports,US_exports,US_trade_deficit,US_ unemployment_rate,US_housing_price_index,number_of_covid_cases_US,number_of_covid_deaths,global_container_freight_index
Asia,2021,Sep,110736.6834,42647.9268,-68088.7566,4.7,358.8,4101005,54479,10839
Asia,2021,Oct,112754.2213,52816.85477,-59937.36653,4.6,361.55,2433668,42996,10194
Asia,2021,Nov,113274.9445,50432.11395,-62842.83055,4.2,361.59,2561250,30393,9353
Asia,2021,Dec,113274.9491,50432.0687,-62842.8804,3.9,361.62,6340666,37560,9293
Australia and Oceania,2019,Jan,1252.775428,2336.838589,1084.063161,4,264.58,0,0,1324
Australia and Oceania,2019,Feb,1072.812832,2117.276876,1044.464044,3.8,266.36,0,0,1324
Australia and Oceania,2019,Mar,1292.559367,2565.578818,1273.019451,3.8,269.34,0,0,1324
Australia and Oceania,2019,Apr,1331.011139,2446.399645,1115.388506,3.6,272.38,0,0,1324
Australia and Oceania,2019,May,1490.048219,2390.374302,900.326083,3.6,275.21,0,0,1324
Australia and Oceania,2019,Jun,1285.662728,2589.766753,1304.104025,3.6,276.47,0,0,1324
Australia and Oceania,2019,Jul,1428.580606,2607.955534,1179.374928,3.7,277.43,0,0,1342
Australia and Oceania,2019,Aug,1415.443033,2805.458752,1390.015719,3.7,277.48,0,0,1350
Australia and Oceania,2019,Sep,1122.245788,2482.209691,1359.963903,3.5,278.17,0,0,1279
Australia and Oceania,2019,Oct,1258.217876,3041.299809,1783.081933,3.6,278.27,0,0,1238
Australia and Oceania,2019,Nov,1213.401031,2571.474019,1358.072988,3.6,278.71,0,0,1290
Australia and Oceania,2019,Dec,1239.351825,3068.771269,1829.419444,3.6,279.34,0,0,1446
Australia and Oceania,2020,Jan,1303.337033,2007.777887,704.440854,3.5,280.38,4,0,1514
Australia and Oceania,2020,Feb,1074.017097,2528.806447,1454.78935,3.5,283.64,66,2,1331
Australia and Oceania,2020,Mar,1580.866832,2504.133709,923.266877,4.4,286.34,212592,4947,1400
Australia and Oceania,2020,Apr,2556.028202,1819.655233,-736.372969,14.7,288.64,878237,60329,1439
Australia and Oceania,2020,May,1938.313541,1995.600898,57.287357,13.2,289.54,743386,41797,1459
Australia and Oceania,2020,Jun,1216.847102,1971.006,754.158898,11,293.23,860959,20649,1785
Australia and Oceania,2020,Jul,2149.032953,2433.109229,284.076276,10.2,296.61,1940971,30604,1762
Australia and Oceania,2020,Aug,1564.608938,2397.154984,832.546046,8.4,300.72,1478495,30610,1946
Australia and Oceania,2020,Sep,1426.903192,2359.118219,932.215027,7.9,304.59,1220261,21822,2247
Australia and Oceania,2020,Oct,1145.800566,2524.225503,1378.424937,6.9,307.83,1935667,24008,2231
Australia and Oceania,2020,Nov,1188.474506,2266.532516,1078.05801,6.7,310.16,4432394,41976,2443
Australia and Oceania,2020,Dec,1916.930359,2331.972754,415.042395,6.7,312.32,6373304,82375,3143
Australia and Oceania,2021,Jan,1322.47649,2004.250673,681.774183,6.4,315.03,6088193,97856,4087
Australia and Oceania,2021,Feb,1369.190288,2011.04828,641.857992,6.2,319.68,2342966,61920,4302
Australia and Oceania,2021,Mar,1340.30192,2961.186395,1620.884475,6,327.16,1795768,32013,4111
Australia and Oceania,2021,Apr,1398.646304,2617.413684,1218.76738,6,334.92,1844608,20769,4375
Australia and Oceania,2021,May,1298.360109,2890.5283,1592.168191,5.8,342.48,897760,16312,5165
Australia and Oceania,2021,Jun,1595.217907,2596.677867,1001.45996,5.9,348.93,392130,9505,6217
Australia and Oceania,2021,Jul,1514.698074,2678.826245,1164.128171,5.4,353.89,1378269,9450,8848
Australia and Oceania,2021,Aug,1694.266036,2730.326104,1036.060068,5.2,356.45,4245784,33309,10323
Australia and Oceania,2021,Sep,1502.565659,2537.67762,1035.111961,4.7,358.8,4101005,54479,10839
Australia and Oceania,2021,Oct,1671.920335,2863.458995,1191.53866,4.6,361.55,2433668,42996,10194
Australia and Oceania,2021,Nov,1584.309735,2511.540922,927.231187,4.2,361.59,2561250,30393,9353
Australia and Oceania,2021,Dec,1584.309235,2511.539722,927.230487,3.9,361.62,6340666,37560,9293
European Union,2019,Jan,39370.81853,27717.0944,-11653.72413,4,264.58,0,0,1324
European Union,2019,Feb,37750.30289,28471.58768,-9278.71521,3.8,266.36,0,0,1324
European Union,2019,Mar,44754.08206,30576.91915,-14177.16291,3.8,269.34,0,0,1324
European Union,2019,Apr,45226.80531,27258.78829,-17968.01702,3.6,272.38,0,0,1324
European Union,2019,May,45458.88097,28239.81688,-17219.06409,3.6,275.21,0,0,1324
European Union,2019,Jun,41406.47533,27464.91974,-13941.55559,3.6,276.47,0,0,1324
European Union,2019,Jul,45923.81008,25816.09658,-20107.7135,3.7,277.43,0,0,1342
European Union,2019,Aug,43173.04184,27902.1643,-15270.87754,3.7,277.48,0,0,1350
European Union,2019,Sep,41545.80325,27718.1239,-13827.67935,3.5,278.17,0,0,1279
European Union,2019,Oct,46748.91248,30168.64127,-16580.27121,3.6,278.27,0,0,1238
European Union,2019,Nov,41207.7504,28234.97041,-12972.77999,3.6,278.71,0,0,1290
European Union,2019,Dec,42512.42576,26918.23542,-15594.19034,3.6,279.34,0,0,1446
European Union,2020,Jan,35034.31726,21521.82375,-13512.49351,3.5,280.38,4,0,1514
European Union,2020,Feb,32834.86017,22515.75458,-10319.10559,3.5,283.64,66,2,1331
European Union,2020,Mar,41637.7196,23701.18422,-17936.53538,4.4,286.34,212592,4947,1400
European Union,2020,Apr,31484.72882,15746.39062,-15738.3382,14.7,288.64,878237,60329,1439
European Union,2020,May,27176.75003,15454.08576,-11722.66427,13.2,289.54,743386,41797,1459
European Union,2020,Jun,30327.90204,16246.07402,-14081.82802,11,293.23,860959,20649,1785
European Union,2020,Jul,34116.33815,18411.44183,-15704.89632,10.2,296.61,1940971,30604,1762
European Union,2020,Aug,34153.77001,18549.51391,-15604.2561,8.4,300.72,1478495,30610,1946
European Union,2020,Sep,35676.5187,19676.04295,-16000.47575,7.9,304.59,1220261,21822,2247
European Union,2020,Oct,36849.51694,20642.02678,-16207.49016,6.9,307.83,1935667,24008,2231
European Union,2020,Nov,36717.68305,19453.56811,-17264.11494,6.7,310.16,4432394,41976,2443
European Union,2020,Dec,39463.32881,19305.13191,-20158.1969,6.7,312.32,6373304,82375,3143
European Union,2021,Jan,35716.89513,19370.08404,-16346.81109,6.4,315.03,6088193,97856,4087
European Union,2021,Feb,35747.15019,20007.37831,-15739.77188,6.2,319.68,2342966,61920,4302
European Union,2021,Mar,40653.20171,22106.36681,-18546.8349,6,327.16,1795768,32013,4111
European Union,2021,Apr,40438.29308,22521.27621,-17917.01687,6,334.92,1844608,20769,4375
European Union,2021,May,39910.4309,22310.9579,-17599.473,5.8,342.48,897760,16312,5165
European Union,2021,Jun,43289.79662,23232.78156,-20057.01506,5.9,348.93,392130,9505,6217
European Union,2021,Jul,42404.12626,21575.85385,-20828.27241,5.4,353.89,1378269,9450,8848
European Union,2021,Aug,42422.40729,22645.15902,-19777.24827,5.2,356.45,4245784,33309,10323
European Union,2021,Sep,41141.27214,23339.99655,-17801.27559,4.7,358.8,4101005,54479,10839
European Union,2021,Oct,42542.94091,26326.50182,-16216.43909,4.6,361.55,2433668,42996,10194
European Union,2021,Nov,44395.03864,23542.59964,-20852.439,4.2,361.59,2561250,30393,9353
European Union,2021,Dec,44395.08214,23542.59074,-20852.4914,3.9,361.62,6340666,37560,9293
South and Central America,2019,Jan,9967.850534,13271.91659,3304.066056,4,264.58,0,0,1324
South and Central America,2019,Feb,8738.974137,11902.34513,3163.370993,3.8,266.36,0,0,1324
South and Central America,2019,Mar,9181.977306,14227.39207,5045.414764,3.8,269.34,0,0,1324
South and Central America,2019,Apr,9509.791998,13435.4792,3925.687202,3.6,272.38,0,0,1324
South and Central America,2019,May,9637.998744,13998.27034,4360.271596,3.6,275.21,0,0,1324
South and Central America,2019,Jun,8778.390637,13755.14631,4976.755673,3.6,276.47,0,0,1324
