Data Table for Daily Death Trends - The United States,,,,
Date generated: Fri Jan 21 2022 14:01:23 GMT-0800 (Pacific Standard Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Aug 16 2021,842,874,8
United States,Aug 15 2021,672,856,0
United States,Aug 14 2021,886,835,0
United States,Aug 13 2021,1185,802,14
United States,Aug 12 2021,984,752,0
United States,Aug 11 2021,588,721,12
United States,Aug 10 2021,964,742,0
United States,Aug  9 2021,717,705,1
United States,Aug  8 2021,527,697,0
United States,Aug  7 2021,649,674,0
United States,Aug  6 2021,841,638,0
United States,Aug  5 2021,761,592,0
United States,Aug  4 2021,739,555,0
United States,Aug  3 2021,704,519,0
United States,Aug  2 2021,658,491,0
United States,Aug  1 2021,368,457,0
United States,Jul 31 2021,397,440,0
United States,Jul 30 2021,518,418,130
United States,Jul 29 2021,502,403,0
United States,Jul 28 2021,492,381,0
United States,Jul 27 2021,506,366,0
United States,Jul 26 2021,421,340,0
United States,Jul 25 2021,244,321,0
United States,Jul 24 2021,249,308,0
United States,Jul 23 2021,412,297,0
United States,Jul 22 2021,343,292,0
United States,Jul 21 2021,392,288,0
United States,Jul 20 2021,322,280,0
United States,Jul 19 2021,287,283,0
United States,Jul 18 2021,151,285,0
United States,Jul 17 2021,177,280,0
United States,Jul 16 2021,372,275,0
United States,Jul 15 2021,320,267,0
United States,Jul 14 2021,337,259,0
United States,Jul 13 2021,340,247,0
United States,Jul 12 2021,303,242,0
United States,Jul 11 2021,115,214,0
United States,Jul 10 2021,144,215,0
United States,Jul  9 2021,312,216,0
United States,Jul  8 2021,264,215,0
United States,Jul  7 2021,255,218,0
United States,Jul  6 2021,303,217,0
United States,Jul  5 2021,107,213,0
United States,Jul  4 2021,124,225,0
United States,Jul  3 2021,152,232,0
United States,Jul  2 2021,302,245,0
United States,Jul  1 2021,287,258,0
United States,Jun 30 2021,244,262,0
United States,Jun 29 2021,279,275,0
United States,Jun 28 2021,191,280,0
United States,Jun 27 2021,174,290,0
United States,Jun 26 2021,241,296,0
United States,Jun 25 2021,394,298,10
United States,Jun 24 2021,314,281,0
United States,Jun 23 2021,336,276,0
United States,Jun 22 2021,310,276,0
United States,Jun 21 2021,264,276,8
United States,Jun 20 2021,217,268,0
United States,Jun 19 2021,254,258,0
United States,Jun 18 2021,274,252,0
United States,Jun 17 2021,279,270,0
United States,Jun 16 2021,339,286,0
United States,Jun 15 2021,311,290,0
United States,Jun 14 2021,205,290,0
United States,Jun 13 2021,149,307,0
United States,Jun 12 2021,212,347,0
United States,Jun 11 2021,397,373,0
United States,Jun 10 2021,393,401,0
United States,Jun  9 2021,365,413,18
United States,Jun  8 2021,312,432,0
United States,Jun  7 2021,325,435,0
United States,Jun  6 2021,427,422,0
United States,Jun  5 2021,396,397,0
United States,Jun  4 2021,594,384,0
United States,Jun  3 2021,472,400,0
United States,Jun  2 2021,500,411,0
United States,Jun  1 2021,337,414,0
United States,May 31 2021,228,438,0
United States,May 30 2021,255,456,0
United States,May 29 2021,305,461,0
United States,May 28 2021,706,474,0
United States,May 27 2021,547,469,0
United States,May 26 2021,523,467,0
United States,May 25 2021,504,479,0
United States,May 24 2021,355,493,217
United States,May 23 2021,288,496,0
United States,May 22 2021,401,518,0
United States,May 21 2021,671,522,0
United States,May 20 2021,527,526,0
United States,May 19 2021,607,535,0
United States,May 18 2021,604,548,0
United States,May 17 2021,375,548,0
United States,May 16 2021,441,555,0
United States,May 15 2021,432,550,0
United States,May 14 2021,696,577,0
United States,May 13 2021,590,594,0
United States,May 12 2021,699,605,0
United States,May 11 2021,609,609,0
United States,May 10 2021,422,621,0
United States,May  9 2021,407,628,0
United States,May  8 2021,620,642,0
United States,May  7 2021,814,642,0
United States,May  6 2021,668,640,0
United States,May  5 2021,725,654,0
United States,May  4 2021,691,671,0
United States,May  3 2021,473,650,0
United States,May  2 2021,504,651,0
United States,May  1 2021,625,641,0
United States,Apr 30 2021,795,647,0
United States,Apr 29 2021,769,655,0
United States,Apr 28 2021,844,658,0
United States,Apr 27 2021,540,648,0
United States,Apr 26 2021,484,677,0
United States,Apr 25 2021,436,677,0
United States,Apr 24 2021,665,687,0
United States,Apr 23 2021,847,683,0
United States,Apr 22 2021,794,678,0
United States,Apr 21 2021,776,678,0
United States,Apr 20 2021,737,682,0
United States,Apr 19 2021,486,683,0
United States,Apr 18 2021,508,691,0
United States,Apr 17 2021,633,686,0
United States,Apr 16 2021,815,702,0
United States,Apr 15 2021,795,706,0
United States,Apr 14 2021,800,716,0
United States,Apr 13 2021,745,719,0
United States,Apr 12 2021,543,715,0
United States,Apr 11 2021,472,691,0
United States,Apr 10 2021,747,697,0
United States,Apr  9 2021,842,697,26
United States,Apr  8 2021,864,697,0
United States,Apr  7 2021,822,690,0
United States,Apr  6 2021,721,709,0
United States,Apr  5 2021,372,709,0
United States,Apr  4 2021,517,735,0
United States,Apr  3 2021,744,750,0
United States,Apr  2 2021,839,766,0
United States,Apr  1 2021,817,797,0
United States,Mar 31 2021,957,823,0
United States,Mar 30 2021,718,846,0
United States,Mar 29 2021,555,851,0
United States,Mar 28 2021,620,905,0
United States,Mar 27 2021,857,895,0
United States,Mar 26 2021,1059,875,0
United States,Mar 25 2021,995,894,0
United States,Mar 24 2021,1124,872,0
United States,Mar 23 2021,748,862,0
United States,Mar 22 2021,937,878,0
United States,Mar 21 2021,548,844,0
United States,Mar 20 2021,719,860,0
United States,Mar 19 2021,1190,897,0
United States,Mar 18 2021,842,911,0
United States,Mar 17 2021,1052,980,0
United States,Mar 16 2021,861,1056,0
United States,Mar 15 2021,696,1078,0
United States,Mar 14 2021,665,1096,0
United States,Mar 13 2021,974,1131,0
United States,Mar 12 2021,1287,1174,165
United States,Mar 11 2021,1327,1269,0
United States,Mar 10 2021,1584,1302,0
United States,Mar  9 2021,1014,1298,138
United States,Mar  8 2021,824,1346,0
United States,Mar  7 2021,913,1408,0
United States,Mar  6 2021,1270,1433,0
United States,Mar  5 2021,1957,1482,0
United States,Mar  4 2021,1556,1479,0
United States,Mar  3 2021,1552,1675,0
United States,Mar  2 2021,1353,1740,0
United States,Mar  1 2021,1259,1789,0
United States,Feb 28 2021,1088,1827,0
United States,Feb 27 2021,1610,1893,0
United States,Feb 26 2021,1935,1923,0
United States,Feb 25 2021,2930,1995,0
United States,Feb 24 2021,2006,1898,0
United States,Feb 23 2021,1698,1925,0
United States,Feb 22 2021,1526,1885,0
United States,Feb 21 2021,1548,1868,0
United States,Feb 20 2021,1818,1869,0
United States,Feb 19 2021,2440,1906,0
United States,Feb 18 2021,2250,1918,0
United States,Feb 17 2021,2195,2059,0
United States,Feb 16 2021,1423,2149,0
United States,Feb 15 2021,1402,2293,0
United States,Feb 14 2021,1556,2336,0
United States,Feb 13 2021,2078,2372,1204
United States,Feb 12 2021,2522,2471,2559
United States,Feb 11 2021,3238,2600,0
United States,Feb 10 2021,2825,2585,0
United States,Feb  9 2021,2436,2654,0
United States,Feb  8 2021,1699,2730,0
United States,Feb  7 2021,1808,2813,0
United States,Feb  6 2021,2772,2883,0
United States,Feb  5 2021,3423,2883,0
United States,Feb  4 2021,3133,2861,0
United States,Feb  3 2021,3311,2966,0
United States,Feb  2 2021,2968,3062,0
United States,Feb  1 2021,2282,3146,0
United States,Jan 31 2021,2296,3124,0
United States,Jan 30 2021,2768,3151,0
United States,Jan 29 2021,3275,3183,0
United States,Jan 28 2021,3864,3243,0
United States,Jan 27 2021,3983,3239,0
United States,Jan 26 2021,3554,3222,0
United States,Jan 25 2021,2131,3108,0
United States,Jan 24 2021,2485,3131,0
United States,Jan 23 2021,2990,3144,0
United States,Jan 22 2021,3695,3221,0
United States,Jan 21 2021,3840,3181,0
United States,Jan 20 2021,3864,3162,0
United States,Jan 19 2021,2752,3191,0
United States,Jan 18 2021,2296,3312,0
United States,Jan 17 2021,2575,3360,0
United States,Jan 16 2021,3529,3358,0
United States,Jan 15 2021,3411,3331,0
United States,Jan 14 2021,3709,3383,0
United States,Jan 13 2021,4069,3421,0
United States,Jan 12 2021,3599,3392,0
United States,Jan 11 2021,2630,3377,0
United States,Jan 10 2021,2564,3301,0
United States,Jan  9 2021,3337,3225,0
United States,Jan  8 2021,3774,3086,0
United States,Jan  7 2021,3979,2980,0
United States,Jan  6 2021,3863,2953,0
United States,Jan  5 2021,3498,2939,0
United States,Jan  4 2021,2096,2918,0
United States,Jan  3 2021,2034,2940,0
United States,Jan  2 2021,2363,2921,0
United States,Jan  1 2021,3033,2821,0
United States,Dec 31 2020,3786,2706,0
United States,Dec 30 2020,3768,2598,0
United States,Dec 29 2020,3352,2517,0
United States,Dec 28 2020,2250,2454,0
United States,Dec 27 2020,1901,2445,0
United States,Dec 26 2020,1663,2473,0
United States,Dec 25 2020,2226,2619,0
United States,Dec 24 2020,3031,2725,0
United States,Dec 23 2020,3197,2771,0
United States,Dec 22 2020,2915,2799,0
United States,Dec 21 2020,2188,2778,0
United States,Dec 20 2020,2096,2755,0
